Capacity(%),Area,O/C,Count,LastUpdated
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
4,MAC Weight Room,Open,2,08/23/2021 12:39 PM
5,Lower Weight Room,Open,9,08/23/2021 12:39 PM
0,Pool,Open,1,08/23/2021 12:39 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/23/2021 12:39 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
0,Power Training Platforms,Open,0,08/23/2021 12:39 PM
0,Pool Lawn,Open,0,08/23/2021 12:39 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/23/2021 12:39 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/23/2021 12:39 PM
4,MAC Weight Room,Open,2,08/23/2021 12:39 PM
5,Lower Weight Room,Open,9,08/23/2021 12:39 PM
0,Pool,Open,1,08/23/2021 12:39 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/23/2021 12:39 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
0,Power Training Platforms,Open,0,08/23/2021 12:39 PM
0,Pool Lawn,Open,0,08/23/2021 12:39 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/23/2021 12:39 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/23/2021 12:39 PM
15,MAC Weight Room,Open,8,08/23/2021 01:38 PM
3,Lower Weight Room,Open,5,08/23/2021 01:38 PM
0,Pool,Open,1,08/23/2021 01:38 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/23/2021 01:38 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
2,Power Training Platforms,Open,1,08/23/2021 01:38 PM
1,Pool Lawn,Open,2,08/23/2021 01:38 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
